original_product_id,product_id,product_name,item_no,cost,price_per_unit,shippable,family_category_id,description
385,NULL,Welded Wire - Vinyl PVC Coated,WW241410036GR,NULL,141.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
386,NULL,Welded Wire - Vinyl PVC Coated,WW241410048GR,NULL,125.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
387,NULL,Welded Wire - Vinyl PVC Coated,WW24145048BR,NULL,130.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
388,NULL,Welded Wire - Vinyl PVC Coated,WW241410048BR,59.0,220.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
389,NULL,Welded Wire - Vinyl PVC Coated,WW241410048WH,59.0,220.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
390,NULL,Welded Wire - Vinyl PVC Coated,WW111410048BK,114.13,450.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
391,NULL,Welded Wire - Vinyl PVC Coated,WW111410048GR,NULL,490.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
392,NULL,Welded Wire - Vinyl PVC Coated,WW11165048BK,NULL,125.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
393,NULL,Welded Wire - Vinyl PVC Coated,WW111610048BK,NULL,290.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
394,NULL,Welded Wire - Vinyl PVC Coated,WW11165048GR,NULL,150.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
395,NULL,Welded Wire - Vinyl PVC Coated,WW111610048GR,NULL,330.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
396,NULL,Welded Wire - Vinyl PVC Coated,WW32165024GR,NULL,28.5,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
398,NULL,Welded Wire - Vinyl PVC Coated,WW32165036GR,NULL,42.75,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
399,NULL,Welded Wire - Vinyl PVC Coated,WW32165048GR,NULL,59.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
400,NULL,Welded Wire - Vinyl PVC Coated,WW32165036BK,NULL,42.75,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
402,NULL,Welded Wire - Vinyl PVC Coated,WW32165048BK,NULL,69.35,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
408,NULL,Welded Wire - Vinyl PVC Coated Pool Code,WW1541410048BK,56.98,210.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
410,NULL,Welded Wire - Vinyl PVC Coated Pool Code,WW1541410048GR,NULL,137.4,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
412,NULL,Welded Wire - Vinyl PVC Coated,WW121410048BK,98.21,290.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
413,NULL,Welded Wire - Vinyl PVC Coated,WW121410060BK,111.37,320.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
414,NULL,Welded Wire - Vinyl PVC Coated,WW121410048GR,NULL,225.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
415,NULL,Welded Wire - Vinyl PVC Coated,WW121410060GR,NULL,425.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
15251,NULL,Welded Wire - Vinyl PVC Coated,WW111610036BK,NULL,230.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
15252,NULL,Welded Wire - Vinyl PVC Coated,WW11165036BK,33.78,130.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
15253,NULL,Welded Wire - Vinyl PVC Coated,WW111610060BK,94.05,250.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
15254,NULL,Welded Wire - Vinyl PVC Coated,WW11165060BK,NULL,180.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
15255,NULL,Welded Wire - Vinyl PVC Coated,WW111610072BK,NULL,450.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
15256,NULL,Welded Wire - Vinyl PVC Coated,WW11165072BK,NULL,200.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
15257,NULL,Welded Wire - Vinyl PVC Coated,WW111610036GR,NULL,135.0,1,2,"Academy welded wire mesh fence starts with hot dipped galvanized steel core wire that is covered with a thick layer of PVC, and bonded to the wire. We manufacture this product so it’s flexible and will not crack when the wire is bent. It maintains its properties in hot and cold temperatures. This makes a very strong, durable rust resistant wire mesh resistant to both weather and chemicals. The vinyl  PVC coating also protects the wire from water and other corrosive elements. The hot dipped zinc (galvanized) coating that protects the underlying steel core, makes it a superior long lasting product. UV inhibitors retard degradation from sunlight. Academy vinyl PVC coated welded wire mesh fence has the longest lifetime for any application. Our process yields a significant and noticeable difference when compared to other welded wire products available."
